name c? asm? const? user?
sp! 0 1 0 0 
sp@ 0 1 0 0 
xor 0 1 0 0 
or 0 1 0 0 
and 0 1 0 0 
u/mod 0 1 0 0 
u* 0 1 0 0 
cmove 0 1 0 0 
cls 1 0 0 0 
cr 1 0 0 0 
?terminal 1 0 0 0 
key 0 1 0 0 
emit 1 0 0 0 
enclose 0 1 0 0 
<find> 0 1 0 0 
digit 0 1 0 0 
i 0 1 0 0 
<do> 0 1 0 0 
<+loop> 0 1 0 0 
<loop> 0 1 0 0 
0branch 0 1 0 0 
branch 0 1 0 0 
execute 0 1 0 0 
lit 0 1 0 0 
